;;;*;abiotic;abiotic;abiotic;abiotic;abiotic;abiotic;pharmaco;pharmaco
;;;Σ;heavy metal stress/metallic trace element stress/heavy metal tolerance/metallic trace element  tolerance/heavy metal resistance/metallic trace element  resistance/heavy metal impact/metallic trace element  impact/heavy metal change/metallic trace element  change;heavy metal stress/metallic trace element stress/heavy metal tolerance/metallic trace element  tolerance/heavy metal resistance/metallic trace element  resistance/heavy metal impact/metallic trace element  impact/heavy metal change/metallic trace element  change;hydric stress/drought stress/hydric tolerance/drought tolerance/hydric resistance/drought resistance/hydric impact/drought impact/hydric change/drought change;hydric stress/drought stress/hydric tolerance/drought tolerance/hydric resistance/drought resistance/hydric impact/drought impact/hydric change/drought change;uv stress/light stress/uv tolerance/light tolerance/uv resistance/light resistance/uv impact/light impact/uv change/light change/irradiance;uv stress/light stress/uv tolerance/light tolerance/uv resistance/light resistance/uv impact/light impact/uv change/light change/irradiance;dementia/alzheimer;dementia/alzheimer
;;;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/
*;Σ;w/;4222;4086;136;3120;1102;3564;658;1873;2349
lactones;lactones/strigolactones;w/o;0;3794;131;2886;1039;3285;640;1788;2137
lactones;lactones/strigolactones;w/;297;292;5;234;63;279;18;85;212
phenolic compound;flavonoids/biflavonoids/anthocyanin;w/o;0;608;38;540;106;500;146;286;360
phenolic compound;flavonoids/biflavonoids/anthocyanin;w/;3576;3478;98;2580;996;3064;512;1587;1989
sulphur compounds;sulphur compounds/glucosinolates;w/o;0;3724;103;2786;1041;3299;528;1652;2175
sulphur compounds;sulphur compounds/glucosinolates;w/;395;362;33;334;61;265;130;221;174
